NUM,NAME,ABILITY TYPE,DESCRIPTION,SYNERGY1,SYNERGY2
0,amplify,0,"메테오 속도 +20%, 치명타 확률 +30%",6,0
1,amplify_x,0,"메테오 속도 +20%, 치명타 피해 +30%",6,0
2,annihilation,1,0.5초마다 공격력 1의 탄환 1발,0,0
3,arrow,1,1초마다 추가 탄환 1발,0,0
4,assassination,0,"치명타 확률 +5%, 치명타 탄환이 별을 1회 관통",0,0
5,awakening,0,"연사 간격 +75%, 탄환을 3발씩 발사",0,0
6,ballista,0,치명타 확률 +20%,0,0
7,ballista_x,0,치명타 피해 +20%,0,0
8,berserking,0,체력이 적을수록 공격력 증가,4,0
9,blessing,0,"공격력 +0.5, 치명타 확률 +10%",0,0
10,blunt_arrow,0,"보호막 +1, 보호막 파괴될 때마다 공격력 +0.2",5,0
11,burning_field,0,빨간 별이 주는 경험치 +1,0,0
12,burst,0,치명타에 기본 공격력만큼의 피해 추가,0,0
13,call_of_the_void,0,"공격력 +0.5, 연사 간격 -0.01초",3,0
14,carving_shield,0,"보호막 +1, 보호막 파괴될 때마다 연사 간격 -10%",3,5
15,celestial_shot,0,"공격력 -50%, 그만큼 고정피해 증가",8,0
16,centipede,0,"연사 간격 -50%, 공격력 1/2",3,0
17,chronomancy,1,5초마다 모든 별에게 공격력만큼 피해,1,0
18,cluster,0,"공격력 +5%, 치명타 확률 +5%, 치명타 피해 +5%",0,0
19,conjurer,2,"지나가는 탄환에 1의 피해를 추가하는 영역 (지속시간 1.5초, 쿨타임 4초)",2,0
20,construct,0,현재까지 파괴한 별 하나당 치명타 확률 +0.5% (최대 30%),0,0
21,crucio,1,5초마다 즉사탄 1개 발사,7,0
22,culling_shot,0,체력이 가득 찬 별이 25%의 추가 피해를 받음,1,0
23,curser,0,즉사탄 확률 +10%,7,0
24,damage_4,2,1초 후 공격력 4를 주는 영역 생성 (쿨타임 2.5초),2,0
25,death,0,"체력 -66, 공격력 +50%",0,0
26,deceleration,0,별 이동속도 -20%,0,0
27,defence,0,"보호막 +3, 체력 모두 회복",4,5
28,dividends,0,"탄환 속도 -50%, 공격력 +10%",6,0
29,echo_barrage,0,별 파괴 시 탄환 2개 발사,1,0
30,enchanted,0,"고정피해 +0.2, 치명타 확률 +10%",8,0
31,enchanter,0,공격력 +0.8,0,0
32,explode,0,별 파괴 시 전방으로 5개의 탄환 발사,1,0
33,explorer,0,아이템 등장 확률 +6%,9,0
34,firm,0,"즉사탄 확률 +5%, 즉사탄으로 별 파괴 시 경험치 +1",7,0
35,dagger,0,탄환이 별을 1회 관통,0,0
36,forcer,0,"고정피해 +0.1, 공격력 +0.2",8,0
37,forcer_x,0,"공격력 +0.5, 공격력 +5%",0,0
38,fracture,0,양방향 대각선으로만 탄환 발사,0,0
39,freezing,0,탄환이 별을 2초간 25% 둔화시킴,0,0
40,good_luck,0,"새로고침 횟수 +3, 코인 획득량 +20%",0,0
41,gravity,0,"연사 간격 -10%, 치명타 확률 +10%",3,0
42,greed,0,"아이템 등장 확률 +3%, 코인 획득량 +20%",9,0
43,hardening,1,15초마다 고정피해 +0.05,8,0
44,haste,0,이동 거리에 따라 공격력 증가,0,0
45,healing,1,20초마다 체력 +5,4,0
46,heavy_impact,0,"탄환 속도 -50%, 치명타 확률 +30%",6,0
47,hexagon,1,6초마다 공격력 6의 갈라지는 탄환 발사,0,0
48,hextech,0,능력 선택시 새로고침 1회 추가,0,0
49,hive,0,날개 +2,10,0
50,immolation,0,현재까지 파괴한 별 하나당 공격력 +0.5% (최대 30%),0,0
51,intimidation,0,"공격력 +50%, 연사 간격 +50%",0,0
52,journey,0,"아이템 등장 확률 +3%, 새로고침 +1, 등장하는 별의 수 +1",1,2
53,kinetic_barrage,0,"즉사탄 확률 +5%, 즉사탄으로 별 파괴 시 탄환 2개 발사",7,0
54,lightning_strike,0,"탄환 속도 -20%, 연사 간격 -20%",3,0
55,lock,2,"별을 3초간 25% 둔화시키는 영역 생성 (지속시간 1초, 쿨타임 5초)",2,0
56,longshot,0,"치명타 확률 +10%, 치명타 피해 +10%",0,0
57,lucky_seven,0,7번째 탄환은 항상 치명타,0,0
58,machine_arrow,0,"즉사탄 확률 +15%, 치명타 확률 -10%",7,0
59,mage,0,"탄환 속도 -50%, 공격력 +1",6,0
60,magnetism,0,"별 파괴 시 주변의 별이 끌려옴, 별의 체력 -1",0,0
61,magnitude,0,"별의 체력 -0.5, 등장하는 별의 수 +1",1,0
62,meat_shield,0,"보호막 +1, 보호막 파괴될 때마다 체력 10 회복",4,5
63,mercenary,1,25초마다 보호막 +1,5,0
64,noxious_shot,0,별 파괴 시 모든 별에게 공격력만큼 피해,1,0
65,nuker,0,치명타 확률 100% 초과 시 그만큼 치명타 피해 증가,0,0
66,orbitism,1,10초마다 치명타 확률 +2.5%,0,0
67,ouroboros_l,0,"보호막 +1, 보호막 파괴될 때마다 치명타 확률 +10%",5,0
68,ouroboros_r,0,"보호막 +1, 보호막 파괴될 때마다 치명타 피해 +10%",5,0
69,payback,0,"즉사탄 확률 +15%, 공격력 -10%",7,0
70,pointing,1,10초마다 치명타 피해 +2.5%,0,0
71,porcupine,0,피해를 받으면 그만큼 모든 별에게 피해 입힘,4,0
72,psycholeak,0,"날개 +1, 아이템 획득 확률 +3%",9,10
73,psychosense,0,치명타 발생 시 공격력 3의 탄환 발사,0,0
74,psychoshot,0,"치명타 피해 +10%, 연사 간격 -5%",3,0
75,psychosink,0,"공격력 -80%, 탄환이 모든 별에게 피해를 입힘",0,0
76,psyker,0,"탄환이 별에게 유도됨, 탄환 속도 +25%",0,0
77,psychic_orbs,1,"1초마다 유도 탄환 3개, 공격력 각 1",0,0
78,punishment,0,"즉사탄 확률 +15%, 고정피해 -0.05",7,0
79,ranger,1,"1초마다 별을 1회 관통하는 탄환, 공격력 3",0,0
80,rearm,1,"10초마다 0.5초간 탄환 발사 불가, 연사 간격 -25%",3,0
81,reinforce,0,아이템 획득시 치명타 확률 +10%,9,0
82,resonance,0,랜덤 능력 3개 추가,0,0
83,rogue,0,연사 간격 -15%,3,0
84,seeping,1,10초마다 공격력 +0.1,0,0
85,shoot_5,0,치명타 5회마다 추가 탄환 발사,0,0
86,sorcerer,0,"탄환 속도 2배, 메테오 속도 -50%",0,0
87,speed_3,0,3번째 탄환마다 공격력 +0.3,0,0
88,speed_booster,0,"탄환 속도 +25%, 치명타 확률 +10%",0,0
89,stability,0,현재까지 파괴한 별 하나당 치명타 피해 +1% (최대 30%),0,0
90,stunning_strike,0,"즉사탄 확률 +15%, 메테오 속도 +25%",6,7
91,swarm,2,"영역을 지나가는 탄환은 모든 별에게 피해를 줌 (지속시간 1초, 쿨타임 5초)",2,0
92,taunt,0,"즉사탄 확률 +50%, 피해 받으면 즉사",7,0
93,tremor,0,"메테오 속도 +25%, 매 능력 획득까지 필요한 점수 -10",6,0
94,ultimatum,0,"메테오 속도 +25%, 공격력 +25%",6,0
95,unleash,0,"별 이동속도 +10%, 연사 간격 -20%",3,6
96,unrelenting,2,"치명타 탄환이 지나가면 공격력가 2배 되는 영역 생성 (지속시간 1초, 쿨타임 4초)",2,0
97,unwavering,0,"공격력 +0.5, 치명타 피해 +10%",0,0
98,void,2,"탄환이 지나가면 치명타가 되는 영역 생성 (지속시간 1.5초, 쿨타임 5초)",2,0
99,vulnerability,0,"최대체력 -35%, 연사 간격 -35%",3,0
100,warrior,0,공격력 +20%,0,0
101,volcano,0,"모든 별이 메테오를 생성함, 공격력 +30%",6,0
102,berkano,0,"날개 +1, 현재 날개 1개당 공격력 +0.1",10,0
103,ehwaz,0,"공격력 +1, 다음 라운드로 이동",1,0
104,ansuz,0,고정피해 +0.5,8,0
105,hagalaz,0,메테오가 생성되지 않음,4,0
106,jera,0,아이템 획득시 공격력 +0.2,9,0
107,dagaz,0,아이템 획득시 보호막 +1,5,9
108,algiz,0,보호막 +5,5,0
109,perthro,0,새로고침 횟수 +10,0,0
110,shard,0,"공격력 +0.1, 치명타 확률 +3%, 치명타 피해 +3%, 보호막 +1",4,5
111,spirit,0,현재까지 파괴한 별 하나당 공격력 +0.01 (최대 +0.6),0,0
112,cancer,0,연사 간격 -0.05초,3,0
113,leo,0,"최대체력 2배, 체력 모두 회복",4,0
114,taurus,1,10초마다 연사 간격 -0.002초,3,0
115,aries,0,"날개 +1, 보호막 +1",5,10
116,virgo,0,10 이상의 피해는 10 피해만 입음,4,0
117,libra,0,치명타 확률과 아이템 등장 확률을 교환함,9,0
118,sagittarius,0,별 체력 -2,1,0
119,capricon,0,"보호막 +1, 보호막 파괴시 아이템 등장",5,9
120,aquaris,0,"치명타 확률 +5%, 모든 공격이 치명타 판정을 받음",0,0
121,pisces,0,"아이템 획득시 고정피해 +0.1",8,9
122,scorpio,0,"즉사탄 확률 +15%, 연사 간격 +0.05초",7,0
123,gemini,0,"별이 작아짐, 등장하는 별의 수 +3",1,0
124,ophiuchus,0,"별이 무작위로 나타남, 공격력 +1",0,0
125,pluto,0,"메테오 속도 +25%, 연사 간격 -25%",3,6
126,overload,0,고정피해 2배,8,0
127,horn,0,"날개 +1, 날개 공격력 +0.5",10,0
128,blank,0,"즉사탄 확률 +5%, 즉사탄이 보스에게 입히는 공격력 +50%",7,0
129,contract,0,"날개 +1, 본체와 날개 탄환 속도 +50%",10,0
130,repair,0,아이템 획득시 체력 10 회복,4,9
131,heat,0,"날개 +1, 날개 연사 간격 -20%",10,0
132,lower,0,"날개 +1, 날개 공격이 별을 2초간 25% 둔화시킴",10,0
133,overclock,0,"날개 +1, 날개 공격이 별에게 유도됨",10,0
134,tick,0,별이 10%의 피해를 더 받음,1,0
135,supply,1,10초마다 아이템이 나타남,9,0
