lkey,kr,en
ability_0_name,"amplify","amplify"
ability_0_description,"메테오 속도 +20%, 치명타 확률 +30%","메테오 속도 +20%, 치명타 확률 +30%"
ability_1_name,"amplify x","amplify x"
ability_1_description,"메테오 속도 +20%, 치명타 피해 +30%","메테오 속도 +20%, 치명타 피해 +30%"
ability_2_name,"annihilation","annihilation"
ability_2_description,"0.5초마다 공격력 1의 탄환 1발","0.5초마다 공격력 1의 탄환 1발"
ability_3_name,"arrow","arrow"
ability_3_description,"1초마다 추가 탄환 1발","1초마다 추가 탄환 1발"
ability_4_name,"assassination","assassination"
ability_4_description,"치명타 확률 +5%, 치명타 탄환이 별을 1회 관통","치명타 확률 +5%, 치명타 탄환이 별을 1회 관통"
ability_5_name,"awakening","awakening"
ability_5_description,"연사 간격 +75%, 탄환을 3발씩 발사","연사 간격 +75%, 탄환을 3발씩 발사"
ability_6_name,"ballista","ballista"
ability_6_description,"치명타 확률 +20%","치명타 확률 +20%"
ability_7_name,"ballista x","ballista x"
ability_7_description,"치명타 피해 +20%","치명타 피해 +20%"
ability_8_name,"berserking","berserking"
ability_8_description,"체력이 적을수록 공격력 증가","체력이 적을수록 공격력 증가"
ability_9_name,"blessing","blessing"
ability_9_description,"공격력 +0.5, 치명타 확률 +10%","공격력 +0.5, 치명타 확률 +10%"
ability_10_name,"blunt arrow","blunt arrow"
ability_10_description,"보호막 +1, 보호막 파괴될 때마다 공격력 +0.2","보호막 +1, 보호막 파괴될 때마다 공격력 +0.2"
ability_11_name,"burning field","burning field"
ability_11_description,"빨간 별이 주는 경험치 +1","빨간 별이 주는 경험치 +1"
ability_12_name,"burst","burst"
ability_12_description,"치명타에 기본 공격력만큼의 피해 추가","치명타에 기본 공격력만큼의 피해 추가"
ability_13_name,"call of the void","call of the void"
ability_13_description,"공격력 +0.5, 연사 간격 -0.01초","공격력 +0.5, 연사 간격 -0.01초"
ability_14_name,"carving shield","carving shield"
ability_14_description,"보호막 +1, 보호막 파괴될 때마다 연사 간격 -10%","보호막 +1, 보호막 파괴될 때마다 연사 간격 -10%"
ability_15_name,"celestial shot","celestial shot"
ability_15_description,"공격력 -50%, 그만큼 고정피해 증가","공격력 -50%, 그만큼 고정피해 증가"
ability_16_name,"centipede","centipede"
ability_16_description,"연사 간격 -50%, 공격력 1/2","연사 간격 -50%, 공격력 1/2"
ability_17_name,"chronomancy","chronomancy"
ability_17_description,"5초마다 모든 별에게 공격력만큼 피해","5초마다 모든 별에게 공격력만큼 피해"
ability_18_name,"cluster","cluster"
ability_18_description,"공격력 +5%, 치명타 확률 +5%, 치명타 피해 +5%","공격력 +5%, 치명타 확률 +5%, 치명타 피해 +5%"
ability_19_name,"conjurer","conjurer"
ability_19_description,"지나가는 탄환에 1의 피해를 추가하는 영역 (지속시간 1.5초, 쿨타임 4초)","지나가는 탄환에 1의 피해를 추가하는 영역 (지속시간 1.5초, 쿨타임 4초)"
ability_20_name,"construct","construct"
ability_20_description,"현재까지 파괴한 별 하나당 치명타 확률 +0.5% (최대 30%)","현재까지 파괴한 별 하나당 치명타 확률 +0.5% (최대 30%)"
ability_21_name,"crucio","crucio"
ability_21_description,"5초마다 즉사탄 1개 발사","5초마다 즉사탄 1개 발사"
ability_22_name,"culling shot","culling shot"
ability_22_description,"체력이 가득 찬 별이 25%의 추가 피해를 받음","체력이 가득 찬 별이 25%의 추가 피해를 받음"
ability_23_name,"curser","curser"
ability_23_description,"즉사탄 확률 +10%","즉사탄 확률 +10%"
ability_24_name,"damage 4","damage 4"
ability_24_description,"1초 후 공격력 4를 주는 영역 생성 (쿨타임 2.5초)","1초 후 공격력 4를 주는 영역 생성 (쿨타임 2.5초)"
ability_25_name,"death","death"
ability_25_description,"체력 -66, 공격력 +50%","체력 -66, 공격력 +50%"
ability_26_name,"deceleration","deceleration"
ability_26_description,"별 이동속도 -20%","별 이동속도 -20%"
ability_27_name,"defence","defence"
ability_27_description,"보호막 +3","보호막 +3"
ability_28_name,"dividends","dividends"
ability_28_description,"탄환 속도 -50%, 공격력 +10%","탄환 속도 -50%, 공격력 +10%"
ability_29_name,"echo barrage","echo barrage"
ability_29_description,"별 파괴 시 탄환 2개 발사","별 파괴 시 탄환 2개 발사"
ability_30_name,"enchanted","enchanted"
ability_30_description,"고정피해 +0.2, 치명타 확률 +10%","고정피해 +0.2, 치명타 확률 +10%"
ability_31_name,"enchanter","enchanter"
ability_31_description,"공격력 +0.8","공격력 +0.8"
ability_32_name,"explode","explode"
ability_32_description,"별 파괴 시 전방으로 5개의 탄환 발사","별 파괴 시 전방으로 5개의 탄환 발사"
ability_33_name,"explorer","explorer"
ability_33_description,"아이템 등장 확률 +6%","아이템 등장 확률 +6%"
ability_34_name,"firm","firm"
ability_34_description,"즉사탄 확률 +5%, 즉사탄으로 별 파괴 시 경험치 +1","즉사탄 확률 +5%, 즉사탄으로 별 파괴 시 경험치 +1"
ability_35_name,"dagger","dagger"
ability_35_description,"탄환이 별을 1회 관통","탄환이 별을 1회 관통"
ability_36_name,"forcer","forcer"
ability_36_description,"고정피해 +0.1, 공격력 +0.2","고정피해 +0.1, 공격력 +0.2"
ability_37_name,"forcer x","forcer x"
ability_37_description,"공격력 +0.5, 공격력 +5%","공격력 +0.5, 공격력 +5%"
ability_38_name,"fracture","fracture"
ability_38_description,"양방향 대각선으로만 탄환 발사","양방향 대각선으로만 탄환 발사"
ability_39_name,"freezing","freezing"
ability_39_description,"탄환이 별을 2초간 25% 둔화시킴","탄환이 별을 2초간 25% 둔화시킴"
ability_40_name,"good luck","good luck"
ability_40_description,"새로고침 횟수 +3, 코인 획득량 +20%","새로고침 횟수 +3, 코인 획득량 +20%"
ability_41_name,"gravity","gravity"
ability_41_description,"연사 간격 -10%, 치명타 확률 +10%","연사 간격 -10%, 치명타 확률 +10%"
ability_42_name,"greed","greed"
ability_42_description,"아이템 등장 확률 +3%, 코인 획득량 +20%","아이템 등장 확률 +3%, 코인 획득량 +20%"
ability_43_name,"hardening","hardening"
ability_43_description,"15초마다 고정피해 +0.05","15초마다 고정피해 +0.05"
ability_44_name,"haste","haste"
ability_44_description,"이동 거리에 따라 공격력 증가","이동 거리에 따라 공격력 증가"
ability_45_name,"healing","healing"
ability_45_description,"20초마다 체력 +5","20초마다 체력 +5"
ability_46_name,"heavy impact","heavy impact"
ability_46_description,"탄환 속도 -50%, 치명타 확률 +30%","탄환 속도 -50%, 치명타 확률 +30%"
ability_47_name,"hexagon","hexagon"
ability_47_description,"6초마다 공격력 6의 갈라지는 탄환 발사","6초마다 공격력 6의 갈라지는 탄환 발사"
ability_48_name,"hextech","hextech"
ability_48_description,"능력 선택시 새로고침 1회 추가","능력 선택시 새로고침 1회 추가"
ability_49_name,"hive","hive"
ability_49_description,"날개 +2","날개 +2"
ability_50_name,"immolation","immolation"
ability_50_description,"현재까지 파괴한 별 하나당 공격력 +0.5% (최대 30%)","현재까지 파괴한 별 하나당 공격력 +0.5% (최대 30%)"
ability_51_name,"intimidation","intimidation"
ability_51_description,"공격력 +50%, 연사 간격 +50%","공격력 +50%, 연사 간격 +50%"
ability_52_name,"journey","journey"
ability_52_description,"아이템 등장 확률 +3%, 새로고침 +1, 등장하는 별의 수 +1","아이템 등장 확률 +3%, 새로고침 +1, 등장하는 별의 수 +1"
ability_53_name,"kinetic barrage","kinetic barrage"
ability_53_description,"즉사탄 확률 +5%, 즉사탄으로 별 파괴 시 탄환 2개 발사","즉사탄 확률 +5%, 즉사탄으로 별 파괴 시 탄환 2개 발사"
ability_54_name,"lightning strike","lightning strike"
ability_54_description,"탄환 속도 -20%, 연사 간격 -20%","탄환 속도 -20%, 연사 간격 -20%"
ability_55_name,"lock","lock"
ability_55_description,"별을 3초간 25% 둔화시키는 영역 생성 (지속시간 1초, 쿨타임 5초)","별을 3초간 25% 둔화시키는 영역 생성 (지속시간 1초, 쿨타임 5초)"
ability_56_name,"longshot","longshot"
ability_56_description,"치명타 확률 +10%, 치명타 피해 +10%","치명타 확률 +10%, 치명타 피해 +10%"
ability_57_name,"lucky seven","lucky seven"
ability_57_description,"7번째 탄환은 항상 치명타","7번째 탄환은 항상 치명타"
ability_58_name,"machine arrow","machine arrow"
ability_58_description,"즉사탄 확률 +15%, 치명타 확률 -10%","즉사탄 확률 +15%, 치명타 확률 -10%"
ability_59_name,"mage","mage"
ability_59_description,"탄환 속도 -50%, 공격력 +1","탄환 속도 -50%, 공격력 +1"
ability_60_name,"magnetism","magnetism"
ability_60_description,"별 파괴 시 주변의 별이 끌려옴, 별의 체력 -1","별 파괴 시 주변의 별이 끌려옴, 별의 체력 -1"
ability_61_name,"magnitude","magnitude"
ability_61_description,"별의 체력 -0.5, 등장하는 별의 수 +1","별의 체력 -0.5, 등장하는 별의 수 +1"
ability_62_name,"meat shield","meat shield"
ability_62_description,"보호막 +1, 보호막 파괴될 때마다 체력 10 회복","보호막 +1, 보호막 파괴될 때마다 체력 10 회복"
ability_63_name,"mercenary","mercenary"
ability_63_description,"25초마다 보호막 +1","25초마다 보호막 +1"
ability_64_name,"noxious shot","noxious shot"
ability_64_description,"별 파괴 시 모든 별에게 공격력만큼 피해","별 파괴 시 모든 별에게 공격력만큼 피해"
ability_65_name,"nuker","nuker"
ability_65_description,"치명타 확률 100% 초과 시 그만큼 치명타 피해 증가","치명타 확률 100% 초과 시 그만큼 치명타 피해 증가"
ability_66_name,"orbitism","orbitism"
ability_66_description,"10초마다 치명타 확률 +2.5%","10초마다 치명타 확률 +2.5%"
ability_67_name,"ouroboros l","ouroboros l"
ability_67_description,"보호막 +1, 보호막 파괴될 때마다 치명타 확률 +10%","보호막 +1, 보호막 파괴될 때마다 치명타 확률 +10%"
ability_68_name,"ouroboros r","ouroboros r"
ability_68_description,"보호막 +1, 보호막 파괴될 때마다 치명타 피해 +10%","보호막 +1, 보호막 파괴될 때마다 치명타 피해 +10%"
ability_69_name,"payback","payback"
ability_69_description,"즉사탄 확률 +15%, 공격력 -10%","즉사탄 확률 +15%, 공격력 -10%"
ability_70_name,"pointing","pointing"
ability_70_description,"10초마다 치명타 피해 +2.5%","10초마다 치명타 피해 +2.5%"
ability_71_name,"porcupine","porcupine"
ability_71_description,"피해를 받으면 그만큼 모든 별에게 피해 입힘","피해를 받으면 그만큼 모든 별에게 피해 입힘"
ability_72_name,"psycholeak","psycholeak"
ability_72_description,"날개 +1, 아이템 획득 확률 +3%","날개 +1, 아이템 획득 확률 +3%"
ability_73_name,"psychosense","psychosense"
ability_73_description,"치명타 발생 시 공격력 3의 탄환 발사","치명타 발생 시 공격력 3의 탄환 발사"
ability_74_name,"psychoshot","psychoshot"
ability_74_description,"치명타 피해 +10%, 연사 간격 -5%","치명타 피해 +10%, 연사 간격 -5%"
ability_75_name,"psychosink","psychosink"
ability_75_description,"공격력 -80%, 탄환이 모든 별에게 피해를 입힘","공격력 -80%, 탄환이 모든 별에게 피해를 입힘"
ability_76_name,"psyker","psyker"
ability_76_description,"탄환이 별에게 유도됨, 탄환 속도 +25%","탄환이 별에게 유도됨, 탄환 속도 +25%"
ability_77_name,"psychic orbs","psychic orbs"
